ko_id	category1	category2	function	Arabidopsis_thaliana.batch_run_hsds_id	Arabidopsis_thaliana.batch_run_hsds_genes	Arabidopsis_thaliana.batch_run_hsds_num	Chlamydomonas_reinhardtii.batch_run_hsds_id	Chlamydomonas_reinhardtii.batch_run_hsds_genes	Chlamydomonas_reinhardtii.batch_run_hsds_num
K24221	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	IP5P1_2; type I inositol polyphosphate 5-phosphatase IP5P1/2 	NP_567547.1	NP_567547.1; NP_001319979.1	1			
K00913	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	ITPK1; inositol-1,3,4-trisphosphate 5/6-kinase / inositol-tetrakisphosphate 1-kinase 	NP_567334.1	NP_567334.1; NP_001319879.1; NP_001319880.1; NP_001329012.1; NP_001329013.1; NP_001329014.1; NP_001329015.1	1			
K00915	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	IPMK, IPK2; inositol-polyphosphate multikinase 	NP_196354.1	NP_196354.1; NP_850786.1; NP_850787.1; NP_974748.1; NP_001331991.1; NP_200984.1	1			
K10572	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	IPPK; inositol-pentakisphosphate 2-kinase 	NP_564736.1, NP_176152.1, NP_173629.2	NP_564736.1; NP_564739.1; NP_683442.1, NP_176152.1; NP_001319270.1, NP_173629.2; NP_001322552.1; NP_001322888.1; NP_568613.1	3			
K05573	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ndhB; NA(P)H-quinone oxidoreductase subunit 2 	NP_051103.2	NP_051103.2; NP_051119.2	1			
K03880	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	N3; NAH-ubiquinone oxidoreductase chain 3 	NP_671803.1	NP_671803.1; YP_009472122.2	1			
K03934	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFS1; NAH dehydrogenase (ubiquinone) Fe-S protein 1 	NP_568550.1	NP_568550.1; NP_851103.1	1			
K03938	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFS5; NAH dehydrogenase (ubiquinone) Fe-S protein 5	NP_182291.1	NP_182291.1; NP_001323508.1; NP_001118542.1; NP_191838.1	1			
K03941	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFS8; NAH dehydrogenase (ubiquinone) Fe-S protein 8 	NP_173114.1	NP_173114.1; NP_178022.1	1			
K03949	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFA5; NAH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5	NP_568778.1	NP_568778.1; NP_001331161.1; NP_680745.1	1			
K03952	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFA8; NAH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8	NP_197381.1	NP_197381.1; NP_850849.1; NP_001189824.1; NP_566280.1	1			
K03955	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFAB1; NAH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein	NP_176708.1, NP_199574.1	NP_176708.1; NP_181990.1, NP_199574.1; NP_001078726.1; NP_001331779.1	2			
K11352	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFA12; NAH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	NP_566192.1	NP_566192.1; NP_001030628.1	1			
K11353	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFA13; NAH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13	NP_171957.2	NP_171957.2; NP_565761.1	1			
K03966	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	NUFB10; NAH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10	NP_564540.1	NP_564540.1; NP_001321329.1; NP_001118655.1; NP_566608.1	1			
K00411	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit 	NP_196848.1	NP_196848.1; NP_568288.1	1			
K00412	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	NP_178804.1	NP_178804.1; YP_009472111.2; NP_001318208.1; NP_973436.1	1			
K00413	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit	NP_189360.1	NP_189360.1; NP_198897.1	1			
K00416	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6	NP_178219.1	NP_178219.1; NP_001189492.1; NP_001318168.1; NP_001325276.1	1			
K00417	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7	NP_194973.1	NP_194973.1; NP_197927.1; NP_849484.1; NP_001190394.1; NP_001331940.1	1			
K00419	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9	NP_190841.1	NP_190841.1; NP_001327411.1	1			
K02262	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX3; cytochrome c oxidase subunit 3	NP_178782.1	NP_178782.1; YP_009472127.2	1			
K02261	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX2; cytochrome c oxidase subunit 2	NP_178786.1	NP_178786.1; YP_009472098.2	1			
K02265	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX5B; cytochrome c oxidase subunit 5b	NP_175680.2	NP_175680.2; NP_001078161.1; NP_188185.1; NP_178140.1	1			
K02266	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX6A; cytochrome c oxidase subunit 6a	NP_195496.1	NP_195496.1; NP_001078510.1; NP_001329576.1	1			
K02267	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX6B; cytochrome c oxidase subunit 6b	NP_194535.2	NP_194535.2; NP_568867.1	1			
K02258	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX11, ctaG; cytochrome c oxidase assembly protein subunit 11	NP_171743.1	NP_171743.1; NP_001321510.1; NP_001321511.1	1			
K02260	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	COX17; cytochrome c oxidase assembly protein subunit 17	NP_175711.1	NP_175711.1; NP_566508.1; NP_001327630.1; NP_001327631.1; NP_001327629.1	1			
K02111	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha 	NP_051044.1	NP_051044.1; YP_009472105.2	1	XP_042919828.1	XP_042919828.1; XP_042919829.1	1
K02112	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPF1B, atp; F-type H+/Na+-transporting ATPase subunit beta 	NP_051066.1	NP_051066.1; NP_568203.2; NP_568204.1; NP_680155.1	1			
K02109	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPF0B, atpF; F-type H+-transporting ATPase subunit b	NP_178793.1	NP_178793.1; YP_009472119.1	1			
K02132	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha	NP_051044.1	NP_051044.1; YP_009472105.2	1	XP_001699641.1	XP_001699641.1; XP_042927613.1	1
K02133	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta 	NP_051066.1	NP_051066.1; NP_568203.2; NP_568204.1; NP_680155.1	1			
K02137	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF0O, ATP5O, ATP5; F-type H+-transporting ATPase subunit O	NP_196849.1	NP_196849.1; NP_001031875.1	1			
K02126	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF0A, MTATP6, ATP6; F-type H+-transporting ATPase subunit a	NP_178810.1	NP_178810.1; YP_009472103.2	1			
K02128	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF0C, ATP5G, ATP9; F-type H+-transporting ATPase subunit c	NP_178769.2	NP_178769.2; YP_009472121.2	1	XP_001701500.1	XP_001701500.1; XP_001701531.1	1
K02138	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeF0, ATP5H, ATP7; F-type H+-transporting ATPase subunit d	NP_190798.1	NP_190798.1; NP_001030845.1	1			
K02140	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeFG, ATP5L, ATP20; F-type H+-transporting ATPase subunit g	NP_179558.1	NP_179558.1; NP_001077919.1; NP_194677.1; NP_194351.1; NP_974621.1	1			
K02145	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A 	NP_173126.1, NP_178011.1	NP_173126.1; NP_001185016.1; NP_001322037.1; NP_001322038.1, NP_178011.1; NP_001031299.1	2			
K02147	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B	NP_173451.5	NP_173451.5; NP_177729.1; NP_001031807.1; NP_001031808.1; NP_001190954.1; NP_195563.1; NP_974707.1	1			
K02150	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV1E, ATP6E; V-type H+-transporting ATPase subunit E	NP_176602.1	NP_176602.1; NP_001320763.1	1			
K02152	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV1G, ATP6G; V-type H+-transporting ATPase subunit G	NP_186788.1	NP_186788.1; NP_001327894.1; NP_001327895.1; NP_850489.1; NP_194102.1; NP_194325.1; NP_001328540.1	1			
K02154	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a	NP_179736.1	NP_179736.1; NP_568051.1; NP_850122.1	1	XP_001695223.1, XP_042925236.1	XP_001695223.1; XP_042919461.1, XP_042925236.1; XP_042925237.1	2
K02155	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV0C, ATP6L; V-type H+-transporting ATPase 16ka proteolipid subunit	NP_177693.1	NP_177693.1; NP_179244.1; NP_195198.1; NP_195603.1; NP_564098.2	1			
K03661	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV0B, ATP6F; V-type H+-transporting ATPase 21ka proteolipid subunit	NP_180132.1	NP_180132.1; NP_194979.1; NP_180132.1; NP_194979.1; NP_180132.1; NP_194979.1; NP_001119099.1	1			
K02146	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV0, ATP6; V-type H+-transporting ATPase subunit d	NP_189512.1	NP_189512.1; NP_189513.1; NP_001189996.1	1			
K02153	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ATPeV0E, ATP6H; V-type H+-transporting ATPase subunit e	NP_194401.1, NP_568823.1	NP_194401.1; NP_974623.1, NP_568823.1; NP_001154781.1; NP_001332693.1	2			
K01535	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	PMA1, PMA2; H+-transporting ATPase 	NP_191592.5, NP_178181.1	NP_191592.5; NP_001190141.1; NP_001327362.1; NP_001327363.1, NP_178181.1; NP_001320419.1; NP_001320420.1; NP_194748.1; NP_178762.1; NP_189850.1; NP_179486.1; NP_001190870.1; NP_001190559.1; NP_001331204.1; NP_200545.1; NP_001318282.1; NP_180028.1; NP_001324051.1; NP_001324052.1; NP_001325336.1; NP_201073.1; NP_001325714.1; NP_190378.2; NP_001319430.1	2			
K01507	09102 Energy metabolism	00190 Oxidative phosphorylation [PATH:ko00190]	ppa; inorganic pyrophosphatase 	NP_171613.1	NP_171613.1; NP_001322481.1; NP_001329345.1; NP_192057.1	1			
K02716	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psbO; photosystem II oxygen-evolving enhancer protein 1	NP_190651.1	NP_190651.1; NP_201458.1	1			
K02717	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psbP; photosystem II oxygen-evolving enhancer protein 2	NP_172153.1	NP_172153.1; NP_001117239.1	1			
K08901	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psbQ; photosystem II oxygen-evolving enhancer protein 3	NP_192427.1, NP_563937.1	NP_192427.1; NP_001319873.1; NP_193860.1; NP_001031687.1, NP_563937.1; NP_973820.1	2			
K03542	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psbS; photosystem II 22ka protein	NP_175092.1	NP_175092.1; NP_001319163.1; NP_973971.1	1	XP_001689476.1	XP_001689476.1; XP_001689923.1	1
K08903	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psb28; photosystem II 13ka protein	NP_567814.1	NP_567814.1; NP_001190860.1	1			
K02692	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psa; photosystem I subunit II	NP_171812.1	NP_171812.1; NP_192186.1	1			
K02693	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psaE; photosystem I subunit IV	NP_179616.1	NP_179616.1; NP_567818.2	1			
K02695	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psaH; photosystem I subunit VI	NP_175633.1	NP_175633.1; NP_188235.1	1			
K02699	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psaL; photosystem I subunit XI	NP_193016.1	NP_193016.1; NP_001328992.1	1			
K02701	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	psaN; photosystem I subunit PsaN	NP_201209.1	NP_201209.1; NP_001032133.2	1			
K02636	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	petC; cytochrome b6-f complex iron-sulfur subunit 	NP_192237.1	NP_192237.1; NP_849295.1	1			
K02638	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	petE; plastocyanin	NP_173459.1	NP_173459.1; NP_177737.1; NP_001321069.1	1			
K02639	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	petF; ferredoxin	NP_172565.1, NP_174533.1	NP_172565.1; NP_176291.1, NP_174533.1; NP_001154389.1	2	XP_001700106.1	XP_001700106.1; XP_042922815.1	1
K02641	09102 Energy metabolism	00195 Photosynthesis [PATH:ko00195]	petH; ferredoxin--NAP+ reductase 	NP_173431.1, NP_201420.1, NP_564355.1	NP_173431.1; NP_001077566.1, NP_201420.1; NP_001078805.1; NP_001319047.1, NP_564355.1; NP_849734.1; NP_973942.1; NP_567293.1; NP_001190682.1	3			
K08907	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1	NP_173034.1, NP_198197.1	NP_173034.1; NP_850705.1; NP_191049.1; NP_001078288.1; NP_850706.1, NP_198197.1; NP_191049.1; NP_850705.1; NP_001078288.1; NP_850706.1	2			
K08908	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCA2; light-harvesting complex I chlorophyll a/b binding protein 2	NP_173349.1, NP_198197.1	NP_173349.1; NP_191706.2; NP_198197.1, NP_198197.1; NP_191049.1; NP_850705.1; NP_001078288.1; NP_850706.1	2	XP_001691031.1	XP_001691031.1; XP_001692548.1	1
K08909	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCA3; light-harvesting complex I chlorophyll a/b binding protein 3	NP_176347.1	NP_176347.1; NP_001185280.1; NP_001031217.1	1			
K08911	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCA5; light-harvesting complex I chlorophyll a/b binding protein 5	NP_175137.1	NP_175137.1; NP_849778.1	1	XP_001691031.1, XP_001698070.1	XP_001691031.1; XP_001692548.1, XP_001698070.1; XP_001702730.1; XP_001698519.2; XP_001696202.1; XP_042915893.1	2
K08912	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCB1; light-harvesting complex II chlorophyll a/b binding protein 1	NP_174286.1	NP_174286.1; NP_564339.1; NP_564340.1; NP_565786.1; NP_565787.1; NP_178582.1; NP_178585.1; NP_189406.1; NP_200238.1	1	XP_001693987.1	XP_001693987.1; XP_001694115.1; XP_001695344.1; XP_001703699.1; XP_042924034.1; XP_001695467.1; XP_001695466.1; XP_042928994.1; XP_001697526.1; XP_001695927.1	1
K08913	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCB2; light-harvesting complex II chlorophyll a/b binding protein 2	NP_174286.1	NP_174286.1; NP_564339.1; NP_564340.1; NP_565786.1; NP_565787.1; NP_178582.1; NP_178585.1; NP_189406.1; NP_200238.1	1	XP_001693987.1	XP_001693987.1; XP_001694115.1; XP_001695344.1; XP_001703699.1; XP_042924034.1; XP_001695467.1; XP_001695466.1; XP_042928994.1; XP_001697526.1; XP_001695927.1	1
K08914	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCB3; light-harvesting complex II chlorophyll a/b binding protein 3	NP_174286.1	NP_174286.1; NP_564339.1; NP_564340.1; NP_565786.1; NP_565787.1; NP_178582.1; NP_178585.1; NP_189406.1; NP_200238.1	1			
K08915	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCB4; light-harvesting complex II chlorophyll a/b binding protein 4	NP_187506.1	NP_187506.1; NP_850545.1	1			
K08917	09102 Energy metabolism	00196 Photosynthesis - antenna proteins [PATH:ko00196]	LHCB6; light-harvesting complex II chlorophyll a/b binding protein 6	NP_173034.1	NP_173034.1; NP_850705.1; NP_191049.1; NP_001078288.1; NP_850706.1	1			
K05298	09102 Energy metabolism	00710 arbon fixation in photosynthetic organisms [PATH:ko00710]	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NAP+) (phosphorylating) 	NP_172750.1	NP_172750.1; NP_001321059.1; NP_566796.2; NP_001117276.1; NP_001184977.1; NP_174996.1; NP_001077529.1; NP_172801.1; NP_187062.1; NP_001077530.1; NP_178071.1; NP_173080.1	1			
K14454	09102 Energy metabolism	00710 arbon fixation in photosynthetic organisms [PATH:ko00710]	GOT1; aspartate aminotransferase, cytoplasmic 	NP_180654.1	NP_180654.1; NP_001118421.1; NP_197456.1; NP_196713.1; NP_849838.1; NP_564803.1; NP_001321076.1; NP_001190885.1; NP_194927.1; NP_849483.1; NP_001031767.1	1	XP_001695040.1	XP_001695040.1; XP_001700039.1	1
K00814	09102 Energy metabolism	00710 arbon fixation in photosynthetic organisms [PATH:ko00710]	GPT, ALT; alanine transaminase 	NP_173174.1, NP_173173.3	NP_173174.1; NP_001320458.1; NP_973849.1; NP_001321624.1; NP_001330037.1, NP_173173.3; NP_565040.2; NP_001185380.1; NP_564192.2; NP_001031262.1; NP_001031263.1; NP_177215.1; NP_974122.1; NP_001031083.1; NP_001077811.1	2	XP_001698518.1	XP_001698518.1; XP_042924022.1	1
K14455	09102 Energy metabolism	00710 arbon fixation in photosynthetic organisms [PATH:ko00710]	GOT2; aspartate aminotransferase, mitochondrial 	NP_180654.1	NP_180654.1; NP_001118421.1; NP_197456.1; NP_196713.1; NP_849838.1; NP_564803.1; NP_001321076.1; NP_001190885.1; NP_194927.1; NP_849483.1; NP_001031767.1	1			
K00297	09102 Energy metabolism	00720 arbon fixation pathways in prokaryotes [PATH:ko00720]	metF, MTHFR; methylenetetrahydrofolate reductase (NAPH) 	NP_191556.1	NP_191556.1; NP_566011.1	1			
K00058	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	serA, PHGH; -3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 	NP_564034.1	NP_564034.1; NP_001031061.2	1	XP_001692429.2	XP_001692429.2; XP_042922995.1	1
K02575	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	NP_190092.1, NP_172754.1	NP_190092.1; NP_200886.1, NP_172754.1; NP_196961.1	2	XP_001696788.2	XP_001696788.2; XP_001696789.1; XP_042920904.1	1
K10534	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	NR; nitrate reductase (NA(P)H) 	NP_174901.1	NP_174901.1; NP_177899.1	1			
K00261	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	GLU1_2, gdhA; glutamate dehydrogenase (NA(P)+) 	NP_196361.1, NP_187041.1	NP_196361.1; NP_001119183.1, NP_187041.1; NP_197318.1	2	XP_001694545.1	XP_001694545.1; XP_042924567.1	1
K00262	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	E1.4.1.4, gdhA; glutamate dehydrogenase (NAP+) 	NP_175583.2	NP_175583.2; NP_001323112.1; NP_001323113.1; NP_001323114.1	1			
K00264	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	GLT1; glutamate synthase (NAH) 	NP_200158.2	NP_200158.2; NP_001190529.1; NP_001190530.1	1			
K01725	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	cynS; cyanate lyase 	NP_188991.1	NP_188991.1; NP_001327887.1; NP_001327888.1	1			
K01673	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	cynT, can; carbonic anhydrase 	NP_176114.2, NP_173785.1, NP_568303.2, NP_567928.1	NP_176114.2; NP_001185259.1; NP_849823.1; NP_001031206.1; NP_001320704.1; NP_001320705.1; NP_001320703.1, NP_173785.1; NP_001321762.1, NP_568303.2; NP_001031884.1; NP_001031883.1, NP_567928.1; NP_001328574.1; NP_001031784.1	4	XP_042924593.1, XP_001697606.1	XP_042924593.1; XP_042924594.1, XP_001697606.1; XP_042917879.1	2
K01674	09102 Energy metabolism	00910 Nitrogen metabolism [PATH:ko00910]	cah; carbonic anhydrase 	NP_172287.1, NP_193831.1, NP_200444.1, NP_566971.2	NP_172287.1; NP_001318303.1, NP_193831.1; NP_193832.1, NP_200444.1; NP_001332277.1; NP_001323618.1, NP_566971.2; NP_001319732.1; NP_001326182.1; NP_850685.1	4	XP_001692290.1	XP_001692290.1; XP_001692291.1	1
K13811	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	PAPSS; 3'-phosphoadenosine 5'-phosphosulfate synthase 	NP_188929.1	NP_188929.1; NP_193204.1; NP_199191.1; NP_001329676.1; NP_564099.1	1			
K22966	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	HINT4; sulfate adenylyltransferase (AP) / adenylylsulfatase 	NP_567507.1	NP_567507.1; NP_001319963.1; NP_001329381.1	1			
K00860	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	cysC; adenylylsulfate kinase 	NP_569050.1, NP_001319463.1	NP_569050.1; NP_001331607.1; NP_001331608.1, NP_001319463.1; NP_001327493.1	2			
K01082	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase 	NP_192418.1	NP_192418.1; NP_001328993.1	1			
K05907	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	APR; adenylyl-sulfate reductase (glutathione) 	NP_176409.1	NP_176409.1; NP_001185293.1; NP_192370.1; NP_193930.1	1			
K00387	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	SUOX; sulfite oxidase 	NP_186840.1	NP_186840.1; NP_001030620.1; NP_001078089.1	1			
K17725	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	ETHE1; sulfur dioxygenase 	NP_564636.2	NP_564636.2; NP_974018.3	1			
K01011	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase 	NP_563998.1	NP_563998.1; NP_001031056.1; NP_001185012.1; NP_849675.1; NP_001322506.1; NP_001077848.1; NP_001322507.1; NP_001077847.1	1			
K00640	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	cysE; serine O-acetyltransferase 	NP_175988.1	NP_175988.1; NP_187918.1; NP_200487.1	1	XP_001698456.1	XP_001698456.1; XP_001698457.1	1
K01738	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	cysK; cysteine synthase 	NP_001326025.1, NP_188885.4, NP_001078324.1, NP_175984.1, NP_181903.1, NP_001327883.1, NP_198154.1, NP_191535.2	NP_001326025.1; NP_188885.4; NP_001326025.1; NP_188885.4; NP_001190732.1; NP_001190733.1; NP_001328013.1; NP_193224.1; NP_849386.1, NP_188885.4; NP_001078324.1; NP_001031958.1; NP_001190152.1; NP_001330586.1, NP_001078324.1; NP_001190152.1; NP_001190732.1; NP_001190733.1; NP_001328013.1; NP_193224.1; NP_849386.1; NP_001031956.1; NP_001031957.1; NP_001078628.1; NP_198154.1; NP_851087.1; NP_001325893.1; NP_566243.1; NP_001330587.1; NP_001330588.1; NP_198155.1; NP_974843.1; NP_191703.1; NP_001327883.1, NP_175984.1; NP_974038.1, NP_181903.1; NP_001189745.1, NP_001327883.1; NP_001190732.1; NP_001190733.1; NP_001328013.1; NP_193224.1; NP_849386.1; NP_001325893.1; NP_566243.1; NP_001031956.1; NP_001031957.1; NP_001078628.1; NP_198154.1; NP_851087.1; NP_001330587.1; NP_001330588.1; NP_198155.1; NP_974843.1, NP_198154.1; NP_001031956.1; NP_001031957.1; NP_001078628.1; NP_851087.1; NP_001330587.1; NP_001330588.1; NP_198155.1; NP_974843.1; NP_001325893.1; NP_566243.1; NP_198154.1; NP_001031956.1; NP_001031957.1; NP_001078628.1; NP_851087.1; NP_001330587.1; NP_001330588.1; NP_198155.1; NP_974843.1; NP_001031958.1; NP_001330586.1, NP_191535.2; NP_851022.1; NP_851023.1	8	XP_001691935.1	XP_001691935.1; XP_042926037.1; XP_001696139.2	1
K13034	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase 	NP_001078324.1	NP_001078324.1; NP_001190152.1; NP_001190732.1; NP_001190733.1; NP_001328013.1; NP_193224.1; NP_849386.1; NP_001031956.1; NP_001031957.1; NP_001078628.1; NP_198154.1; NP_851087.1; NP_001325893.1; NP_566243.1; NP_001330587.1; NP_001330588.1; NP_198155.1; NP_974843.1; NP_191703.1; NP_001327883.1	1			
K17285	09102 Energy metabolism	00920 Sulfur metabolism [PATH:ko00920]	SELENBP1; methanethiol oxidase 	NP_189022.1, NP_193139.1	NP_189022.1; NP_001327897.1, NP_193139.1; NP_001190723.1	2			
K00645	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	fab, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase 	NP_565697.1	NP_565697.1; NP_973564.2	1			
K00648	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III 	NP_176452.1	NP_176452.1; NP_001031221.1	1			
K09458	09103 Lipid metabolism	00061 Fatty acid biosynthesis [PATH:ko00061]	fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II 	NP_199441.1, NP_565097.1	NP_199441.1; NP_001190479.1; NP_001032018.1, NP_565097.1; NP_001185400.1; NP_849888.1	2	XP_042919483.1	XP_042919483.1; XP_042919484.1	1
