NP_027421.1	NP_027421.1; NP_001077869.1; NP_001318180.1; NP_001324640.1	486; 486; 486; 486	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193358.4	NP_193358.4; NP_001319955.1	251; 245	Pfam	; 	; 	; 	; 	; 
NP_193363.4	NP_193363.4; NP_849542.2; NP_850472.1	533; 505; 512	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193364.5	NP_193364.5; NP_001319957.1; NP_001328664.1; NP_001328665.1; NP_001328666.1	1628; 1628; 1628; 1628; 1628	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193367.7	NP_193367.7; NP_001319958.1	1830; 1830	Pfam	; 	; 	; 	; 	; 
NP_193379.2	NP_193379.2; NP_001118992.1; NP_001118993.1	176; 176; 176	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193393.4	NP_193393.4; NP_565817.2	494; 497	Pfam	; 	; 	; 	; 	; 
NP_193395.3	NP_193395.3; NP_001329884.1; NP_001329886.1; NP_001329885.1; NP_199558.1; NP_001330912.1; NP_001330913.1	359; 262; 262; 272; 364; 392; 383	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_193403.2	NP_193403.2; NP_001329522.1	453; 385	Pfam	; 	; 	; 	; 	; 
NP_193404.1	NP_193404.1; NP_001328517.1; NP_001328518.1; NP_849397.1	176; 176; 176; 176	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193405.1	NP_193405.1; NP_193470.1	204; 204	Pfam	; 	; 	; 	; 	; 
NP_193414.2	NP_193414.2; NP_974563.1; NP_567517.1	300; 380; 440	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193416.1	NP_193416.1; NP_001078400.1; NP_001078399.1; NP_199532.1; NP_001078724.1; NP_001078723.1; NP_193485.1	355; 345; 265; 357; 301; 305; 360	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_193424.2	NP_193424.2; NP_001329722.1	1040; 1058	Pfam	; 	; 	; 	; 	; 
NP_193425.1	NP_193425.1; NP_001329036.1	1304; 1307	Pfam	; 	; 	; 	; 	; 
NP_193427.4	NP_193427.4; NP_001328968.1; NP_001329720.1; NP_193420.2; NP_001328966.1; NP_001328967.1; NP_001328969.1; NP_001328970.1	1147; 1157; 1213; 1147; 1234; 1244; 1244; 1244	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_193432.4	NP_193432.4; NP_001329880.1; NP_001329875.1; NP_001329882.1; NP_001319973.1; NP_849400.2; NP_001031652.1; NP_001329872.1; NP_001329878.1; NP_001329879.1; NP_001329874.1; NP_001329877.1; NP_001319972.1; NP_849399.1; NP_001329873.1; NP_001329883.1; NP_001329881.1	670; 737; 671; 671; 637; 638; 643; 643; 643; 643; 795; 795; 796; 796; 801; 801; 801	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_193433.1	NP_193433.1; NP_001329352.1; NP_001329353.1	674; 661; 590	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193435.2	NP_193435.2; NP_974564.1; NP_001190745.1	452; 462; 482	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193441.5	NP_193441.5; NP_565799.1	513; 484	Pfam	; 	; 	; 	; 	; 
NP_193447.5	NP_193447.5; NP_001154245.1; NP_001190747.1	4216; 4218; 4219	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193448.2	NP_193448.2; NP_001329373.1	502; 504	Pfam	; 	; 	; 	; 	; 
NP_193456.4	NP_193456.4; NP_001328648.1; NP_001323176.1	529; 529; 526	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193457.5	NP_193457.5; NP_001190748.1	343; 327	Pfam	; 	; 	; 	; 	; 
NP_193462.1	NP_193462.1; NP_001328216.1	567; 587	Pfam	; 	; 	; 	; 	; 
NP_193464.5	NP_193464.5; NP_001329269.1; NP_001329268.1	2037; 2037; 2002	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193466.2	NP_193466.2; NP_199555.1	405; 406	Pfam	; 	; 	; 	; 	; 
NP_193468.2	NP_193468.2; NP_001329410.1	368; 286	Pfam	; 	; 	; 	; 	; 
NP_193469.2	NP_193469.2; NP_001327948.1	792; 738	Pfam	; 	; 	; 	; 	; 
NP_193474.2	NP_193474.2; NP_001119000.1; NP_001328527.1; NP_001328526.1	215; 215; 234; 219	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193491.2	NP_193491.2; NP_001190754.1; NP_001190755.1; NP_199525.2	510; 514; 526; 470	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193492.1	NP_193492.1; NP_199523.1; NP_001332047.1; NP_001318751.1; NP_199524.1	247; 247; 226; 208; 187	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193494.4	NP_193494.4; NP_001154249.1	201; 187	Pfam	; 	; 	; 	; 	; 
NP_193498.2	NP_193498.2; NP_001031654.1; NP_001190756.1	544; 544; 536	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193503.2	NP_193503.2; NP_001078402.1; NP_001328742.1	314; 242; 190	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193505.3	NP_193505.3; NP_193533.5; NP_001328528.1	164; 174; 233	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193509.1	NP_193509.1; NP_849401.1	515; 505	Pfam	; 	; 	; 	; 	; 
NP_193517.3	NP_193517.3; NP_001190758.1	440; 445	Pfam	; 	; 	; 	; 	; 
NP_193522.1	NP_193522.1; NP_199488.1	589; 592	Pfam	; 	; 	; 	; 	; 
NP_193524.2	NP_193524.2; NP_199483.1	227; 226	Pfam	PF04640; PF04640	PLATZ transcription factor; PLATZ transcription factor	2.7E-30; 4.3E-26	IPR006734; IPR006734	PLATZ transcription factor; PLATZ transcription factor
NP_193525.5	NP_193525.5; NP_001328798.1; NP_001328796.1; NP_001328797.1	434; 434; 466; 374	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193530.1	NP_193530.1; NP_199474.1	154; 149	Pfam	; 	; 	; 	; 	; 
NP_193531.1	NP_193531.1; NP_199473.1; NP_199472.1; NP_001032019.1; NP_001119385.1	560; 543; 539; 519; 496	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193544.1	NP_193544.1; NP_199455.1; NP_851142.1	133; 133; 133	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193549.5	NP_193549.5; NP_187423.2	758; 841	Pfam	; 	; 	; 	; 	; 
NP_193557.2	NP_193557.2; NP_001328332.1; NP_001328333.1; NP_001328334.1	233; 233; 213; 213	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193563.3	NP_193563.3; NP_001329801.1; NP_199436.1; NP_001328922.1; NP_001324538.1; NP_974665.1; NP_001031773.1; NP_194991.1	697; 708; 677; 599; 752; 597; 661; 662	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_193565.2	NP_193565.2; NP_001154251.1; NP_193566.2; NP_193971.1	287; 320; 307; 327	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193573.1	NP_193573.1; NP_001190761.1; NP_564350.1; NP_973940.1	380; 380; 379; 379	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193582.2	NP_193582.2; NP_001328214.1	153; 136	Pfam	; 	; 	; 	; 	; 
NP_193583.1	NP_193583.1; NP_199405.2	424; 418	Pfam	; 	; 	; 	; 	; 
NP_193584.3	NP_193584.3; NP_001119007.2; NP_001328806.1; NP_001328807.1; NP_001328810.1; NP_001328808.1; NP_001328809.1	756; 755; 767; 767; 803; 801; 802	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_193589.1	NP_193589.1; NP_001329805.1	520; 453	Pfam	; 	; 	; 	; 	; 
NP_193591.2	NP_193591.2; NP_001328901.1	642; 595	Pfam	; 	; 	; 	; 	; 
NP_193595.3	NP_193595.3; NP_001328466.1; NP_001328469.1; NP_001328467.1; NP_001328468.1	2028; 1989; 2018; 2008; 1896	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193599.3	NP_193599.3; NP_001318746.1; NP_001318747.1	678; 706; 668	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193609.2	NP_193609.2; NP_001328471.1; NP_974569.1; NP_001190763.1	245; 220; 214; 189	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193616.2	NP_193616.2; NP_001190764.1	596; 627	Pfam	; 	; 	; 	; 	; 
NP_193624.1	NP_193624.1; NP_001328106.1; NP_565187.1	284; 208; 325	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193637.2	NP_193637.2; NP_001329724.1	1295; 1247	Pfam	; 	; 	; 	; 	; 
NP_193639.2	NP_193639.2; NP_001319993.1; NP_001190769.1; NP_199369.2; NP_001332734.1	718; 723; 720; 719; 630	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193641.1	NP_193641.1; NP_001078718.1; NP_199362.1; NP_199357.1	383; 354; 354; 346	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193642.1	NP_193642.1; NP_001328578.1	171; 168	Pfam	; 	; 	; 	; 	; 
NP_193650.2	NP_193650.2; NP_001119012.1	243; 220	Pfam	; 	; 	; 	; 	; 
NP_193661.1	NP_193661.1; NP_193669.1; NP_001328104.1; NP_001319995.1; NP_193660.1	288; 232; 208; 383; 228	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193673.2	NP_193673.2; NP_001329018.1	726; 768	Pfam	; 	; 	; 	; 	; 
NP_193684.4	NP_193684.4; NP_849409.2	1034; 1034	Pfam	; 	; 	; 	; 	; 
NP_193686.5	NP_193686.5; NP_001328446.1; NP_001328447.1; NP_001328448.1; NP_001328449.1; NP_001328450.1	1210; 1210; 1247; 1247; 1247; 1220	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_193687.3	NP_193687.3; NP_001329580.1; NP_001329581.1	1744; 1667; 1667	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193690.2	NP_193690.2; NP_001190773.1	212; 223	Pfam	; 	; 	; 	; 	; 
NP_193691.2	NP_193691.2; NP_001329436.1; NP_193695.2; NP_199332.2; NP_001154763.1; NP_001329973.1	460; 388; 541; 579; 590; 470	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_193700.2	NP_193700.2; NP_001328981.1	575; 592	Pfam	; 	; 	; 	; 	; 
NP_193701.2	NP_193701.2; NP_001328027.1; NP_199324.2; NP_001330386.1	574; 601; 586; 516	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193702.1	NP_193702.1; NP_001078409.1; NP_001329045.1; NP_001329046.1; NP_001329047.1; NP_001329048.1; NP_001329049.1	532; 532; 532; 532; 532; 532; 532	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_193705.1	NP_193705.1; NP_851134.1; NP_199323.2	304; 294; 267	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193709.3	NP_193709.3; NP_193712.2	211; 261	Pfam	; 	; 	; 	; 	; 
NP_193722.2	NP_193722.2; NP_849547.1; NP_849411.1	400; 400; 393	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193723.3	NP_193723.3; NP_001031671.1; NP_001190472.1; NP_199315.1; NP_001031672.1; NP_001119375.1; NP_199312.1; NP_001331899.1; NP_001119376.1	356; 382; 325; 325; 313; 350; 350; 269; 267	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_193726.1	NP_193726.1; NP_193727.1	431; 411	Pfam	; 	; 	; 	; 	; 
NP_193728.2	NP_193728.2; NP_001330364.1; NP_199299.1; NP_564374.1	321; 321; 321; 321	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193729.2	NP_193729.2; NP_001329904.1	823; 833	Pfam	; 	; 	; 	; 	; 
NP_193730.2	NP_193730.2; NP_199295.2; NP_567479.5; NP_001328843.1	377; 367; 358; 354	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193735.1	NP_193735.1; NP_974579.1	419; 406	Pfam	; 	; 	; 	; 	; 
NP_193738.1	NP_193738.1; NP_001078410.1; NP_001329640.1; NP_001329641.1; NP_001329642.1; NP_001329638.1; NP_001329639.1; NP_567595.1	481; 481; 481; 481; 506; 383; 383; 483	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_193742.1	NP_193742.1; NP_001320003.1	660; 660	Pfam	; 	; 	; 	; 	; 
NP_193743.1	NP_193743.1; NP_001324064.1; NP_850340.1; NP_001324062.1; NP_001324063.1; NP_001324065.1	288; 376; 376; 358; 313; 270	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_193749.1	NP_193749.1; NP_001328820.1; NP_001328821.1	1188; 1213; 1211	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193759.1	NP_193759.1; NP_001031676.1; NP_001320005.1; NP_001329492.1; NP_001329493.1; NP_001329494.1; NP_849412.1; NP_001031677.1; NP_001190778.1; NP_001190779.1	225; 225; 225; 225; 225; 225; 225; 226; 167; 166	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
NP_193766.1	NP_193766.1; NP_193833.1	286; 275	Pfam	; 	; 	; 	; 	; 
NP_193772.1	NP_193772.1; NP_199268.1	197; 197	Pfam	; 	; 	; 	; 	; 
NP_193773.2	NP_193773.2; NP_001031681.1	954; 897	Pfam	; 	; 	; 	; 	; 
NP_193785.1	NP_193785.1; NP_001329281.1	376; 412	Pfam	; 	; 	; 	; 	; 
NP_193808.2	NP_193808.2; NP_001329369.1	298; 318	Pfam	; 	; 	; 	; 	; 
NP_193810.1	NP_193810.1; NP_199259.1	191; 181	Pfam	; 	; 	; 	; 	; 
NP_193814.1	NP_193814.1; NP_199257.1; NP_001331909.1; NP_199254.1	532; 533; 603; 535	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193818.1	NP_193818.1; NP_199249.1; NP_001330654.1; NP_001319117.1; NP_174363.2; NP_181025.1; NP_199253.1; NP_199252.1; NP_199251.1; NP_001330998.1	530; 532; 548; 534; 552; 532; 537; 542; 541; 581	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
NP_193824.4	NP_193824.4; NP_001320015.1	743; 743	Pfam	; 	; 	; 	; 	; 
NP_193830.1	NP_193830.1; NP_001031683.1; NP_001031684.1; NP_001190783.1; NP_199245.1	591; 591; 591; 591; 588	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_193834.1	NP_193834.1; NP_199244.1; NP_851129.1	266; 331; 295	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193843.1	NP_193843.1; NP_001329615.1	145; 145	Pfam	; 	; 	; 	; 	; 
NP_193847.2	NP_193847.2; NP_001190785.1; NP_001190784.2	691; 691; 679	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193881.1	NP_193881.1; NP_001118935.1	215; 235	Pfam	; 	; 	; 	; 	; 
NP_193883.2	NP_193883.2; NP_001328473.1	425; 389	Pfam	; 	; 	; 	; 	; 
NP_193885.6	NP_193885.6; NP_001320022.1; NP_001190787.1; NP_001320021.1	485; 385; 481; 481	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_193886.3	NP_193886.3; NP_001329314.1	551; 527	Pfam	; 	; 	; 	; 	; 
NP_193888.1	NP_193888.1; NP_001329391.1; NP_563884.1	294; 324; 295	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193889.1	NP_193889.1; NP_001078419.1; NP_001031691.1	325; 319; 292	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193892.1	NP_193892.1; NP_001329633.1	155; 147	Pfam	; 	; 	; 	; 	; 
NP_193893.1	NP_193893.1; NP_001190788.1; NP_683457.1	131; 98; 143	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193895.2	NP_193895.2; NP_001321955.1; NP_001321957.1; NP_001320283.1; NP_001078370.1; NP_001328268.1; NP_001328156.1	733; 723; 723; 722; 722; 722; 721	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_193897.2	NP_193897.2; NP_001190789.1; NP_001328547.1	584; 598; 678	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193903.1	NP_193903.1; NP_001190790.1; NP_001328118.1	139; 107; 107	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193907.2	NP_193907.2; NP_001328261.1; NP_001185287.1	535; 545; 543	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193908.1	NP_193908.1; NP_001329323.1	472; 393	Pfam	; 	; 	; 	; 	; 
NP_193911.1	NP_193911.1; NP_974586.1	379; 379	Pfam	; 	; 	; 	; 	; 
NP_193913.4	NP_193913.4; NP_001329536.1; NP_001329537.1	1255; 1284; 1278	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_193946.3	NP_193946.3; NP_567262.1	302; 303	Pfam	; 	; 	; 	; 	; 
NP_193959.2	NP_193959.2; NP_974590.1	415; 332	Pfam	; 	; 	; 	; 	; 
NP_193963.2	NP_193963.2; NP_001190798.1	238; 237	Pfam	; 	; 	; 	; 	; 
NP_193966.2	NP_193966.2; NP_001190799.1; NP_001329808.1; NP_001078426.1	510; 539; 508; 541	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194003.1	NP_194003.1; NP_974593.1	353; 353	Pfam	; 	; 	; 	; 	; 
NP_194014.2	NP_194014.2; NP_001190803.1	193; 201	Pfam	; 	; 	; 	; 	; 
NP_194018.1	NP_194018.1; NP_001154266.1	112; 153	Pfam	; 	; 	; 	; 	; 
NP_194019.1	NP_194019.1; NP_001031700.1; NP_001320035.1	356; 356; 356	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194024.1	NP_194024.1; NP_001327985.1	377; 377	Pfam	; 	; 	; 	; 	; 
NP_194025.1	NP_194025.1; NP_974124.1; NP_001322117.1; NP_192739.2; NP_001332298.1; NP_001330109.1	458; 463; 434; 469; 494; 510	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_194028.2	NP_194028.2; NP_001328112.1; NP_001190804.1	2180; 2181; 2177	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194037.2	NP_194037.2; NP_001319716.1; NP_566917.1; NP_974405.1; NP_001190039.1; NP_196850.1	484; 471; 471; 471; 472; 443	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_194040.2	NP_194040.2; NP_001078434.1	161; 208	Pfam	; 	; 	; 	; 	; 
NP_194041.1	NP_194041.1; NP_001190808.1; NP_001031701.1	522; 522; 477	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194052.2	NP_194052.2; NP_001329689.1; NP_001329690.1; NP_001329691.1	610; 582; 589; 589	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194058.2	NP_194058.2; NP_001329528.1; NP_001329527.1	645; 645; 647	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194062.1	NP_194062.1; NP_001329016.1	830; 790	Pfam	; 	; 	; 	; 	; 
NP_194065.3	NP_194065.3; NP_199944.2	324; 325	Pfam	; 	; 	; 	; 	; 
NP_194072.3	NP_194072.3; NP_566411.2	281; 282	Pfam	; 	; 	; 	; 	; 
NP_194081.1	NP_194081.1; NP_001327413.1	495; 491	Pfam	; 	; 	; 	; 	; 
NP_194082.2	NP_194082.2; NP_001328652.1; NP_001328653.1	635; 596; 623	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194090.2	NP_194090.2; NP_194091.1; NP_001329101.1	424; 422; 424	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194093.1	NP_194093.1; NP_001190814.1	264; 277	Pfam	; 	; 	; 	; 	; 
NP_194105.1	NP_194105.1; NP_001328543.1	638; 638	Pfam	; 	; 	; 	; 	; 
NP_194108.2	NP_194108.2; NP_001329693.1	138; 138	Pfam	; 	; 	; 	; 	; 
NP_194113.1	NP_194113.1; NP_199002.1	444; 449	Pfam	; 	; 	; 	; 	; 
NP_194117.3	NP_194117.3; NP_001078436.1; NP_974600.1; NP_001329017.1	452; 452; 452; 404	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194124.1	NP_194124.1; NP_974603.1	187; 160	Pfam	; 	; 	; 	; 	; 
NP_194127.1	NP_194127.1; NP_001328160.1; NP_001190698.1; NP_001328452.1; NP_001328453.1; NP_567369.1; NP_849357.1	122; 192; 231; 231; 231; 231; 231	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_194130.3	NP_194130.3; NP_194132.3; NP_567692.2	751; 760; 722	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194139.2	NP_194139.2; NP_001328202.1	231; 167	Pfam	; 	; 	; 	; 	; 
NP_194147.2	NP_194147.2; NP_974605.1	418; 342	Pfam	; 	; 	; 	; 	; 
NP_194150.1	NP_194150.1; NP_974606.1	823; 823	Pfam	; 	; 	; 	; 	; 
NP_194151.2	NP_194151.2; NP_001328278.1	1000; 1000	Pfam	; 	; 	; 	; 	; 
NP_194153.1	NP_194153.1; NP_001078438.1	388; 387	Pfam	; 	; 	; 	; 	; 
NP_194154.1	NP_194154.1; NP_001078439.1; NP_001078440.1; NP_001078441.1; NP_001119041.1; NP_849432.1	362; 362; 362; 362; 366; 364	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_194155.1	NP_194155.1; NP_568777.1	353; 348	Pfam	; 	; 	; 	; 	; 
NP_194158.3	NP_194158.3; NP_849551.1	817; 816	Pfam	; 	; 	; 	; 	; 
NP_194166.2	NP_194166.2; NP_001320054.1; NP_567699.1; NP_001119043.2; NP_001329111.1	336; 293; 338; 199; 225	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_194173.1	NP_194173.1; NP_001320055.1; NP_001329674.1	87; 87; 87	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194175.1	NP_194175.1; NP_849434.1	106; 106	Pfam	; 	; 	; 	; 	; 
NP_194176.3	NP_194176.3; NP_001328878.1; NP_001328879.1	1278; 1278; 1278	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194177.2	NP_194177.2; NP_001190820.1; NP_568373.1; NP_001078575.1	431; 431; 447; 452	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194179.2	NP_194179.2; NP_001329470.1; NP_001329469.1	956; 951; 946	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194180.2	NP_194180.2; NP_001078443.1; NP_001331841.1; NP_198997.1	678; 678; 687; 687	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194183.1	NP_194183.1; NP_001190823.1; NP_194750.1; NP_001328167.1; NP_849472.2	692; 688; 711; 774; 712	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_194184.2	NP_194184.2; NP_201350.2	519; 504	Pfam	; 	; 	; 	; 	; 
NP_194185.1	NP_194185.1; NP_001324584.1; NP_179840.2; NP_001154528.1	220; 240; 240; 235	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_194186.1	NP_194186.1; NP_001190824.1; NP_849437.1	451; 385; 380	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194190.2	NP_194190.2; NP_001328845.1; NP_001328844.1; NP_001328846.1; NP_001328847.1; NP_974917.1; NP_199782.3; NP_974916.1	241; 246; 188; 171; 171; 235; 234; 196	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_194192.2	NP_194192.2; NP_001329820.1; NP_001329819.1; NP_001190825.1; NP_001332293.1; NP_001332294.1; NP_001332295.1; NP_001332296.1; NP_001332297.1; NP_201347.2; NP_001190622.1; NP_001332292.1; NP_001119504.1	1150; 1151; 1154; 1155; 1091; 1050; 1091; 1091; 1050; 1050; 1125; 1057; 1016	Pfam	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 
NP_194193.2	NP_194193.2; NP_001078444.1	613; 570	Pfam	; 	; 	; 	; 	; 
NP_194197.1	NP_194197.1; NP_001328716.1; NP_201344.1	220; 231; 279	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_194199.4	NP_194199.4; NP_001329062.1; NP_001329059.1; NP_001329061.1; NP_001329060.1	1427; 1413; 1412; 1412; 1387	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_194202.4	NP_194202.4; NP_001320058.1	479; 467	Pfam	; 	; 	; 	; 	; 
NP_194210.2	NP_194210.2; NP_001119046.1; NP_001328499.1; NP_001328498.1; NP_001328500.1	857; 857; 857; 815; 815	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_194212.2	NP_194212.2; NP_001328942.1; NP_001190829.1	438; 438; 445	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
